dataset	specimen_id	region_type	crop_path	source_file	area_fraction	candidate_panel_id	class_counts_json	coverage_gain_ids_json	coverage_gain_n	covered_unit_ids_json	covered_unit_n	crop_reason	final_crop_bbox_xyxy	panel_area_fraction	panel_bbox_xyxy	panel_kind	panel_score	queue_id	queue_rank	queue_stage	reason
main500	BM000075813	main_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000075813/05_final_queue/crops/Q0001_main_main_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000075813/05_final_queue/final_ocr_queue.tsv	0.1844629005059022	P0001	"{""annotation label"": 3, ""catalog number"": 4, ""handwritten note"": 3, ""herbarium stamp"": 1, ""printed label"": 3, ""type specimen label"": 1}"	"[""Y0002"", ""Y0007"", ""Y0040"", ""Y0133"", ""Y0156"", ""Y0167"", ""Y0180"", ""Y0191"", ""Y0199"", ""Y0203"", ""Y0205"", ""Y0215"", ""Y0216"", ""Y0217"", ""Y0218""]"	15	"[""Y0002"", ""Y0007"", ""Y0040"", ""Y0133"", ""Y0156"", ""Y0167"", ""Y0180"", ""Y0191"", ""Y0199"", ""Y0203"", ""Y0205"", ""Y0215"", ""Y0216"", ""Y0217"", ""Y0218""]"	15	tight_union_of_text_children	[633, 1615, 1500, 2372]	0.14966610455311974	[710, 1684, 1484, 2372]	text	28.88109260223978	Q0001	1	main	main; main_text_label_panel; tight_union_of_text_children; gain=15
main500	BM000075813	main_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000075813/05_final_queue/crops/Q0002_main_main_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000075813/05_final_queue/final_ocr_queue.tsv	0.32222681281618887	P0002	"{""catalog number"": 1, ""database label"": 1, ""handwritten note"": 2, ""herbarium stamp"": 1, ""primary specimen label"": 2, ""type specimen label"": 1}"	"[""Y0036"", ""Y0071"", ""Y0101"", ""Y0127"", ""Y0134"", ""Y0168"", ""Y0171"", ""Y0174"", ""Y0197""]"	9	"[""Y0036"", ""Y0071"", ""Y0101"", ""Y0127"", ""Y0134"", ""Y0168"", ""Y0171"", ""Y0174"", ""Y0197""]"	9	tight_union_of_text_children	[0, 216, 717, 1815]	0.23940050590219225	[14, 349, 653, 1682]	text	14.809376007336219	Q0002	2	main	main; main_text_label_panel; tight_union_of_text_children; gain=9
main500	BM000075813	small_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000075813/05_final_queue/crops/Q0003_main_small_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000075813/05_final_queue/final_ocr_queue.tsv	0.010721753794266441	P0003	"{""handwritten note"": 1, ""type specimen label"": 1}"	"[""Y0108"", ""Y0169""]"	2	"[""Y0108"", ""Y0169""]"	2	tight_union_of_text_children	[0, 0, 289, 132]	0.0077403035413153454	[8, 0, 263, 108]	text	4.800237708668109	Q0003	3	main	main; small_text_label_panel; tight_union_of_text_children; gain=2
main500	BM000075813	isolated_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000075813/05_final_queue/crops/Q0004_rescue_isolated_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000075813/05_final_queue/final_ocr_queue.tsv	0.03705986509274874	P0005	"{""herbarium stamp"": 1}"	"[""Y0200""]"	1	"[""Y0200""]"	1	tight_union_of_text_children	[900, 970, 1107, 1607]	0.023729342327150085	[924, 1023, 1083, 1554]	text	1.1781766205599453	Q0004	4	rescue	rescue; isolated_text_label_panel; tight_union_of_text_children; gain=1
main500	BM000500117	small_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000500117/05_final_queue/crops/Q0001_main_small_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000500117/05_final_queue/final_ocr_queue.tsv	0.06549923195084485	P0002	"{""catalog number"": 2, ""handwritten note"": 1, ""printed label"": 1}"	"[""Y0063"", ""Y0171"", ""Y0256"", ""Y0294""]"	4	"[""Y0063"", ""Y0171"", ""Y0256"", ""Y0294""]"	4	tight_union_of_text_children	[14, 1769, 1080, 1949]	0.04001228878648234	[103, 1793, 991, 1925]	text	9.0042829424341	Q0001	1	main	main; small_text_label_panel; tight_union_of_text_children; gain=4
main500	BM000500117	oversized_text_panel_shrink_required	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000500117/05_final_queue/crops/Q0002_main_oversized_text_panel_shrink_required.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000500117/05_final_queue/final_ocr_queue.tsv	1.0	P0001	"{""annotation label"": 4, ""barcode label"": 1, ""catalog number"": 3, ""handwritten note"": 12, ""herbarium stamp"": 3, ""primary specimen label"": 2, ""printed label"": 8, ""type specimen label"": 1}"	"[""Y0004"", ""Y0010"", ""Y0048"", ""Y0093"", ""Y0096"", ""Y0110"", ""Y0113"", ""Y0129"", ""Y0132"", ""Y0155"", ""Y0162"", ""Y0167"", ""Y0170"", ""Y0176"", ""Y0179"", ""Y0180"", ""Y0184"", ""Y0195"", ""Y0200"", ""Y0210"", ""Y0212"", ""Y0214"", ""Y0216"", ""Y0221"", ""Y0226"", ""Y0235"", ""Y0236"", ""Y0238"", ""Y0246"", ""Y0264"", ""Y0272"", ""Y0283"", ""Y0296"", ""Y0299""]"	34	"[""Y0004"", ""Y0010"", ""Y0048"", ""Y0063"", ""Y0093"", ""Y0096"", ""Y0110"", ""Y0113"", ""Y0129"", ""Y0132"", ""Y0155"", ""Y0162"", ""Y0167"", ""Y0170"", ""Y0171"", ""Y0176"", ""Y0179"", ""Y0180"", ""Y0184"", ""Y0195"", ""Y0200"", ""Y0210"", ""Y0212"", ""Y0214"", ""Y0216"", ""Y0221"", ""Y0226"", ""Y0235"", ""Y0236"", ""Y0238"", ""Y0246"", ""Y0256"", ""Y0264"", ""Y0272"", ""Y0283"", ""Y0294"", ""Y0296"", ""Y0299""]"	38	tight_union_of_text_children	[0, 0, 1500, 1953]	0.913141833077317	[1, 49, 1470, 1870]	text	14.932389702872353	Q0002	2	main	main; oversized_text_panel_shrink_required; tight_union_of_text_children; gain=34
main500	BM000501121	oversized_text_panel_shrink_required	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000501121/05_final_queue/crops/Q0001_main_oversized_text_panel_shrink_required.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000501121/05_final_queue/final_ocr_queue.tsv	0.964	P0001	"{""annotation label"": 3, ""barcode label"": 1, ""catalog number"": 5, ""handwritten note"": 15, ""herbarium stamp"": 6, ""printed label"": 7, ""type specimen label"": 2}"	"[""Y0008"", ""Y0055"", ""Y0085"", ""Y0091"", ""Y0115"", ""Y0117"", ""Y0138"", ""Y0140"", ""Y0149"", ""Y0166"", ""Y0183"", ""Y0191"", ""Y0197"", ""Y0198"", ""Y0199"", ""Y0201"", ""Y0205"", ""Y0207"", ""Y0216"", ""Y0218"", ""Y0219"", ""Y0240"", ""Y0241"", ""Y0242"", ""Y0244"", ""Y0258"", ""Y0259"", ""Y0260"", ""Y0262"", ""Y0263"", ""Y0269"", ""Y0275"", ""Y0285"", ""Y0286"", ""Y0288"", ""Y0289"", ""Y0290"", ""Y0296"", ""Y0300""]"	39	"[""Y0008"", ""Y0055"", ""Y0085"", ""Y0091"", ""Y0115"", ""Y0117"", ""Y0138"", ""Y0140"", ""Y0149"", ""Y0166"", ""Y0183"", ""Y0191"", ""Y0197"", ""Y0198"", ""Y0199"", ""Y0201"", ""Y0205"", ""Y0207"", ""Y0216"", ""Y0218"", ""Y0219"", ""Y0240"", ""Y0241"", ""Y0242"", ""Y0244"", ""Y0258"", ""Y0259"", ""Y0260"", ""Y0262"", ""Y0263"", ""Y0269"", ""Y0275"", ""Y0285"", ""Y0286"", ""Y0288"", ""Y0289"", ""Y0290"", ""Y0296"", ""Y0300""]"	39	tight_union_of_text_children	[54, 0, 1500, 1839]	0.8058082291100236	[179, 56, 1432, 1830]	text	16.356160536028483	Q0001	1	main	main; oversized_text_panel_shrink_required; tight_union_of_text_children; gain=39
main500	BM000517025	main_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000517025/05_final_queue/crops/Q0001_main_main_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000517025/05_final_queue/final_ocr_queue.tsv	0.27694929697486154	P0001	"{""annotation label"": 2, ""catalog number"": 2, ""handwritten note"": 4, ""primary specimen label"": 2, ""printed label"": 5, ""type specimen label"": 1}"	"[""Y0005"", ""Y0007"", ""Y0108"", ""Y0111"", ""Y0126"", ""Y0129"", ""Y0133"", ""Y0141"", ""Y0151"", ""Y0155"", ""Y0158"", ""Y0161"", ""Y0173"", ""Y0192"", ""Y0195"", ""Y0199""]"	16	"[""Y0005"", ""Y0007"", ""Y0108"", ""Y0111"", ""Y0126"", ""Y0129"", ""Y0133"", ""Y0141"", ""Y0151"", ""Y0155"", ""Y0158"", ""Y0161"", ""Y0173"", ""Y0192"", ""Y0195"", ""Y0199""]"	16	tight_union_of_text_children	[0, 1697, 1500, 2347]	0.24190626331487006	[29, 1756, 1470, 2347]	text	31.73099693405622	Q0001	1	main	main; main_text_label_panel; tight_union_of_text_children; gain=16
main500	BM000517025	main_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000517025/05_final_queue/crops/Q0002_main_main_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000517025/05_final_queue/final_ocr_queue.tsv	0.04432324953841784	P0002	"{""catalog number"": 5, ""primary specimen label"": 1, ""type specimen label"": 1}"	"[""Y0046"", ""Y0096"", ""Y0150"", ""Y0174"", ""Y0186"", ""Y0190"", ""Y0196""]"	7	"[""Y0046"", ""Y0096"", ""Y0150"", ""Y0174"", ""Y0186"", ""Y0190"", ""Y0196""]"	7	tight_union_of_text_children	[0, 811, 166, 1751]	0.02650078113904275	[23, 889, 142, 1673]	text	14.893823961679836	Q0002	2	main	main; main_text_label_panel; tight_union_of_text_children; gain=7
main500	BM000517025	isolated_text_label_panel	/net/scratch/f70829xm/nhm_scribe_main500_yoloe1000_redpurple_v4_auxbarrier/02_boxlogic/BM000517025/05_final_queue/crops/Q0003_main_isolated_text_label_panel.jpg	extras/csf3_vision_ocr/main500_yoloe26_redpurple_v4/02_boxlogic/BM000517025/05_final_queue/final_ocr_queue.tsv	0.0533873029399233	P0003	"{""primary specimen label"": 1}"	"[""Y0026""]"	1	"[""Y0026""]"	1	tight_union_of_text_children	[474, 0, 1011, 350]	0.039995739241585004	[519, 3, 966, 318]	text	3.0363316205599453	Q0003	3	main	main; isolated_text_label_panel; tight_union_of_text_children; gain=1
